preprint_doi,published_doi,published_journal,preprint_platform,preprint_title,preprint_authors,preprint_category,preprint_date,published_date,preprint_abstract,preprint_author_corresponding,preprint_author_corresponding_institution
10.1101/003640,10.1093/bioinformatics/btu390,Bioinformatics,bioRxiv,The Scramble Conversion Tool,James K Bonfield;,Bioinformatics ,2014-03-28,2014-06-14,"MotivationThe reference CRAM file format implementation is in Java. We present \""Scramble\"": a new C implementation of SAM, BAM and CRAM file I/O.\n\nResultsThe C API for CRAM is 1.5-1.7x slower than BAM at decoding, but 1.8-2.6x faster at encoding. We see file size savings of 40-50%.\n\nAvailabilitySource code is available from http://sourceforge.net/projects/staden/files/io_lib/",James K Bonfield,Wellcome Trust Sanger Institute
10.1101/006072,10.1093/icb/icu080,Integrative and Comparative Biology,bioRxiv,"Gene co-expression modules underlying polymorphic and monomorphic zooids in the colonial hydrozoan, Hydractinia symbiolongicarpus",David C Plachetzki;M. Sabrina Pankey;Brian R Johnson;Eric J Ronne;Artyom Kopp;Richard K Grosberg;,Developmental Biology ,2014-06-07,2014-06-15,"Advances in sequencing technology have forced a quantitative revolution in Evolutionary Biology. One important feature of this renaissance is that comprehensive genomic resources can be obtained quickly for almost any taxon, thus speeding the development of new model organisms. Here we analyze 20 RNA-seq libraries from morphologically, sexually, and genetically distinct polyp types from the gonochoristic colonial hydrozoan, Hydractinia symbiolongicarpus (Cnidaria). Analyses of these data using Weighted Gene Co-expression Networks highlights deeply conserved genetic elements of animal spermatogenesis and demonstrate the utility of these methods in identifying modules of genes that correlate with different zooid types across various statistical contrasts. RNAseq data and analytical scripts described here are deposited in publicly available databases.",David C Plachetzki,The University of New Hampshire
10.1101/002899,10.1093/molbev/msu173,Molecular Biology and Evolution,bioRxiv,An experimentally determined evolutionary model dramatically improves phylogenetic fit,Jesse D Bloom;,Evolutionary Biology ,2014-02-20,2014-05-24,"All modern approaches to molecular phylogenetics require a quantitative model for how genes evolve. Unfortunately, existing evolutionary models do not realistically represent the site-heterogeneous selection that governs actual sequence change. Attempts to remedy this problem have involved augmenting these models with a burgeoning number of free parameters. Here I demonstrate an alternative: experimental determination of a parameter-free evolutionary model via mutagenesis, functional selection, and deep sequencing. Using this strategy, I create an evolutionary model for influenza nucleoprotein that describes the gene phylogeny far better than existing models with dozens or even hundreds of free parameters. Emerging high-throughput experimental strategies such as the one employed here provide fundamentally new information that has the potential to transform the sensitivity of phylogenetic and genetic analyses.",Jesse D Bloom,Fred Hutchinson Cancer Research Center
10.1101/003194,10.1093/emph/eou018,"Evolution, Medicine, and Public Health",bioRxiv,Phylogenetic tree shapes resolve disease transmission patterns,Jennifer Gardy;Caroline Colijn;,Evolutionary Biology ,2014-03-05,2014-06-09,"Whole genome sequencing is becoming popular as a tool for understanding outbreaks of communicable diseases, with phylogenetic trees being used to identify individual transmission events or to characterize outbreak-level overall transmission dynamics. Existing methods to infer transmission dynamics from sequence data rely on well-characterised infectious periods, epidemiological and clinical meta-data which may not always be available, and typically require computationally intensive analysis focussing on the branch lengths in phylogenetic trees. We sought to determine whether the topological structures of phylogenetic trees contain signatures of the overall transmission patterns underyling an outbreak. Here we use simulated outbreaks to train and then test computational classifiers. We test the method on data from two real-world outbreaks. We find that different transmission patterns result in quantitatively different phylogenetic tree shapes. We describe five topological features that summarize a phylogenys structure and find that computational classifiers based on these are capable of predicting an outbreaks transmission dynamics. The method is robust to variations in the transmission parameters and network types, and recapitulates known epidemiology of previously characterized real-world outbreaks. We conclude that there are simple structural properties of phylogenetic trees which, when combined, can distinguish communicable disease outbreaks with a super-spreader, homogeneous transmission, and chains of transmission. This is possible using genome data alone, and can be done during an outbreak. We discuss the implications for management of outbreaks.",Caroline  Colijn,Imperial College London
10.1101/005710,10.1093/hmg/ddu285,Human Molecular Genetics,bioRxiv,Inhibition of protein translation by the DISC1-Boymaw fusion gene from a Scottish family with major psychiatric disorders,Baohu Ji;Kerin Higa;Minjung Kim;Lynn Zhou;Jared Young;Mark Geyer;Xianjin Zhou;,Neuroscience ,2014-05-31,2014-06-19,"The t(1; 11) translocation appears to be the causal genetic lesion with 70% penetrance for schizophrenia, major depression, and other psychiatric disorders in a Scottish family. Molecular studies identified the disruption of the DISC1 (disrupted-in-schizophrenia 1) gene by chromosome translocation at chromosome 1q42. Our previous studies, however, revealed that the translocation also disrupted another gene, Boymaw (also termed DISC1FP1), on chromosome 11. After translocation, two fusion genes (the DISC1-Boymaw (DB7) and the Boymaw-DISC1 (BD13)) are generated between the DISC1 and Boymaw genes. In the present study, we report that expression of the DB7 fusion gene inhibits both intracellular NADH oxidoreductase activities and protein translation. We generated humanized DISC1-Boymaw mice with gene targeting to examine the in vivo functions of the fusion genes. Consistent with the in vitro studies on the DB7 fusion gene, protein translation activity is decreased in the hippocampus and in cultured primary neurons from the brains of the humanized mice. Expression of Gad67, Nmdar1, and Psd95 proteins are also reduced. The humanized mice display prolonged and increased responses to the NMDA receptor antagonist, ketamine, on various mouse genetic backgrounds. Abnormal information processing of acoustic startle and depressive-like behaviors are also observed. In addition, the humanized mice display abnormal erythropoiesis, which was reported to associate with depression in humans. Expression of the DB7 fusion gene may reduce protein translation to impair brain functions and thereby contribute to the pathogenesis of major psychiatric disorders.",Xianjin  Zhou,"University of California, San Diego"
10.1101/001917,10.1098/rsif.2014.0320,Journal of the Royal Society Interface,bioRxiv,Modelling and analysis of bacterial tracks suggest an active reorientation mechanism in Rhodobacter sphaeroides,Gabriel Rosser;Ruth E. Baker;Judith P. Armitage;Alexander George Fletcher;,Microbiology ,2014-01-21,2014-08-06,"Most free-swimming bacteria move in approximately straight lines, interspersed with random reorientation phases. A key open question concerns varying mechanisms by which reorientation occurs. We combine mathematical modelling with analysis of a large tracking dataset to study the poorly-understood reorientation mechanism in the monoflagellate species Rhodobacter sphaeroides. The flagellum on this species rotates counterclockwise to propel the bacterium, periodically ceasing rotation to enable reorientation. When rotation restarts the cell body usually points in a new direction. It has been assumed that the new direction is simply the result of Brownian rotation. We consider three variants of a self-propelled particle model of bacterial motility. The first considers rotational diffusion only, corresponding to a non-chemotactic mutant strain. A further two models also include stochastic reorientations, describing  run-and-tumble motility. We derive expressions for key summary statistics and simulate each model using a stochastic computational algorithm. We also discuss the effect of cell geometry on rotational diffusion. Working with a previously published tracking dataset, we compare predictions of the models with data on individual stopping events in R. sphaeroides. This provides strong evidence that this species undergoes some form of active reorientation rather than simple reorientation by Brownian rotation.",Alexander George Fletcher,University of Oxford
10.1101/000653,10.1242/bio.20148409,Biology Open,bioRxiv,An interplay between extracellular signalling and the dynamics of the exit from pluripotency drives cell fate decisions in mouse ES cells,David A Turner;Jamie Trott;Penelope Hayward;Pau Rué;Alfonso Martinez Arias;,Developmental Biology ,2013-11-18,2014-06-20,"Embryonic Stem cells derived from the epiblast tissue of the mammalian blastocyst, retain the capability to differentiate into any adult cell type and are able to self-renew indefinitely under appropriate culture conditions. Despite the large amount of knowledge that we have accumulated to date about the regulation and control of self-renewal, efficient directed differentiation into specific tissues remains elusive. In this work, we have analyzed in a systematic manner the interaction between the dynamics of loss of pluripotency and Activin/Nodal, BMP4 and Wnt signalling in fate assignment during the early stages of differentiation of mouse ES cells in culture. During the initial period of differentiation cells exit from pluripotency and enter an Epi-like state. Following this transient stage, and under the influence of Activin/Nodal and BMP signalling, cells face a fate choice between differentiating into neuroectoderm and contributing to Primitive Streak fates. We find that Wnt signalling does not suppress neural development as previously thought and that it aids both fates in a context dependent manner. Our results suggest that as cells exit pluripotency they are endowed with a primary neuroectodermal fate and that the potency to become endomesodermal rises with time. We suggest that this situation translates into a \""race for fates\"" at the level of single cells in which the neuroectodermal fate has an advantage.",Alfonso  Martinez Arias,Department of Genetics. University of Cambridge. Cambridge CB2 3EH. UK.
10.1101/001545,10.1186/1471-2105-15-220,BMC Bioinformatics,bioRxiv,Exploring community structure in biological networks with random graphs,Pratha Sah;Lisa O. Singh;Aaron Clauset;Shweta Bansal;,Bioinformatics ,2013-12-22,2014-06-25,"BackgroundCommunity structure is ubiquitous in biological networks. There has been an increased interest in unraveling the community structure of biological systems as it may provide important insights into a systems functional components and the impact of local structures on dynamics at a global scale. Choosing an appropriate community detection algorithm to identify the community structure in an empirical network can be difficult, however, as the many algorithms available are based on a variety of cost functions and are difficult to validate. Even when community structure is identified in an empirical system, disentangling the effect of community structure from other network properties such as clustering coefficient and assortativity can be a challenge.\n\nResultsHere, we develop a generative model to produce undirected, simple, connected graphs with a specified degrees and pattern of communities, while maintaining a graph structure that is as random as possible. Additionally, we demonstrate two important applications of our model: (a) to generate networks that can be used to benchmark existing and new algorithms for detecting communities in biological networks; and (b) to generate null models to serve as random controls when investigating the impact of complex network features beyond the byproduct of degree and modularity in empirical biological networks.\n\nConclusionOur model allows for the systematic study of the presence of community structure and its impact on network function and dynamics. This process is a crucial step in unraveling the functional consequences of the structural properties of biological systems and uncovering the mechanisms that drive these systems.",Shweta  Bansal,Georgetown University
10.1101/005017,10.1371/journal.pgen.1004434,PLOS Genetics,bioRxiv,Background selection as baseline for nucleotide variation across the Drosophila genome,Josep M Comeron;,Evolutionary Biology ,2014-05-09,2014-06-26,"The constant removal of deleterious mutations by natural selection causes a reduction in neutral diversity and efficacy of selection at genetically linked sites (a process called Background Selection, BGS). Population genetic studies, however, often ignore BGS effects when investigating demographic events or the presence of other types of selection. To obtain a more realistic evolutionary expectation that incorporates the unavoidable consequences of deleterious mutations, we generated high-resolution landscapes of variation across the Drosophila melanogaster genome under a BGS scenario independent of polymorphism data. We find that BGS plays a significant role in shaping levels of variation across the entire genome, including long introns and intergenic regions distant from annotated genes. We also find that a very large percentage of the observed variation in diversity across autosomes can be explained by BGS alone, up to 70% across individual chromosome arms, thus indicating that BGS predictions can be used as baseline to infer additional types of selection and demographic events. This approach allows detecting several outlier regions with signal of recent adaptive events and selective sweeps. The use of a BGS baseline, however, is particularly appropriate to investigate the presence of balancing selection and our study exposes numerous genomic regions with the predicted signature of higher polymorphism than expected when a BGS context is taken into account. Importantly, we show that these conclusions are robust to the mutation and selection parameters of the BGS model. Finally, analyses of protein evolution together with previous comparisons of genetic maps between Drosophila species, suggest temporally variable recombination landscapes and thus, local BGS effects that may differ between extant and past phases. Because genome-wide BGS and temporal changes in linkage effects can skew approaches to estimate demographic and selective events, future analyses should incorporate BGS predictions and capture local recombination variation across genomes and along lineages.",Josep M Comeron,University of Iowa
10.1101/000109,10.1371/journal.pgen.1004410,PLOS Genetics,bioRxiv,Speciation and introgression between Mimulus nasutus and Mimulus guttatus,Yaniv Brandvain;Amanda M Kenney;Lex Fagel;Graham Coop;Andrea L Sweigart;,Evolutionary Biology ,2013-11-07,2014-06-26,"Mimulus guttatus and M. nasutus are an evolutionary and ecological model sister species pair differentiated by ecology, mating system, and partial reproductive isolation. Despite extensive research on this system, the history of divergence and differentiation in this sister pair is unclear. We present and analyze a novel population genomic data set which shows that M. nasutus &quot;budded&quot; off of a central Californian M. guttatus population within the last 200 to 500 thousand years. In this time, the M. nasutus genome has accrued numerous genomic signatures of the transition to predominant selfing. Despite clear biological differentiation, we document ongoing, bidirectional introgression. We observe a negative relationship between the recombination rate and divergence between M. nasutus and sympatric M. guttatus samples, suggesting that selection acts against M. nasutus ancestry in M. guttatus.",Yaniv  Brandvain,"Department of Evolution and Ecology & Center for Population Biology, University of California -Davis"
10.1101/002493,10.1371/journal.pone.0100163,PLOS ONE,bioRxiv,The roles of standing genetic variation and evolutionary history in determining the evolvability of anti-predator strategies,Jordan Fish;Daniel R O'Donnell;Abhijna Parigi;Ian Dworkin;Aaron P Wagner;,Evolutionary Biology ,2014-02-07,2014-06-23,"Standing genetic variation and the historical environment in which that variation arises (evolutionary history) are both potentially significant determinants of a populations capacity for evolutionary response to a changing environment. We evaluated the relative importance of these two factors in influencing the evolutionary trajectories in the face of sudden environmental change. We used the open-ended digital evolution software Avida to examine how historic exposure to predation pressures, different levels of genetic variation, and combinations of the two, impact anti-predator strategies and competitive abilities evolved in the face of threats from new, invasive, predator populations. We show that while standing genetic variation plays some role in determining evolutionary responses, evolutionary history has the greater influence on a populations capacity to evolve effective anti-predator traits. This adaptability likely reflects the relative ease of repurposing existing, relevant genes and traits, and the broader potential value of the generation and maintenance of adaptively flexible traits in evolving populations.",Daniel R O'Donnell,Michigan State University
10.1101/003004,10.1007/s00239-014-9628-x,Journal of Molecular Evolution,bioRxiv,Neanderthals had our de novo genes.,John Stewart Taylor;,Evolutionary Biology ,2014-02-25,2014-06-01,"Gene duplication provides a profusion of raw material for evolutionary innovation (Lynch and Conery, 2000). While most duplicates rapidly become unrecognizable some, e.g., those that are immediately useful or those that after a period of relaxed selection gain unique roles, are retained and thereby expand a genomes protein-coding repertoire. Ohno (1970) famously remarked that without gene duplication, the creation of metazoans, vertebrates, and mammals from unicellular organisms would have been impossible. Such big leaps in evolution, he argued, required the creation of new gene loci with previously nonexistent functions (Taylor and Raes, 2004). Recently, another source of new genes has been recognized: Though rare, it seems clear that new genes can emerge from formerly non-coding DNA, the  de novo protein coding genes (Zhao et al., 2014, and references therein).\n\nIn 2009 Knowles ...",John Stewart Taylor,"Department of Biology, University of Victoria, Victoria, BC, Canada"
10.1101/001784,10.1126/science.1250939,Science,bioRxiv,Global Epistasis Makes Adaptation Predictable Despite Sequence-Level Stochasticity,Sergey Kryazhimskiy;Daniel Paul Rice;Elizabeth Jerison;Michael M Desai;,Evolutionary Biology ,2014-01-13,2014-06-27,"Epistasis can make adaptation highly unpredictable, rendering evolutionary trajectories contingent on the chance effects of initial mutations. We used experimental evolution in Saccharomyces cerevisiae to quantify this effect, finding dramatic differences in adaptability between 64 closely related genotypes. Despite these differences, sequencing of 105 evolved clones showed no significant effect of initial genotype on future sequence-level evolution. Instead, reconstruction experiments revealed a consistent pattern of diminishing returns epistasis. Our results suggest that many beneficial mutations affecting a variety of biological processes are globally coupled: they interact strongly, but only through their combined effect on fitness. Sequence-level adaptation is thus highly stochastic. Nevertheless, fitness evolution is strikingly predictable because differences in adaptability are determined only by global fitness-mediated epistasis, not by the identity of individual mutations.",Michael M Desai,Harvard University
10.1101/005348,10.1038/ng.3015,Nature Genetics,bioRxiv,Inferring human population size and separation history from multiple genome sequences,Stephan Schiffels;Richard Durbin;,Genetics ,2014-05-21,2014-05-30,"The availability of complete human genome sequences from populations across the world has given rise to new population genetic inference methods that explicitly model their ancestral relationship under recombination and mutation. So far, application of these methods to evolutionary history more recent than 20-30 thousand years ago and to population separations has been limited. Here we present a new method that overcomes these shortcomings. The Multiple Sequentially Markovian Coalescent (MSMC) analyses the observed pattern of mutations in multiple individuals, focusing on the first coalescence between any two individuals. Results from applying MSMC to genome sequences from nine populations across the world suggest that the genetic separation of non-African ancestors from African Yoruban ancestors started long before 50,000 years ago, and give information about human population history as recently as 2,000 years ago, including the bottleneck in the peopling of the Americas, and separations within Africa, East Asia and Europe.",Richard  Durbin,Sanger Institute
10.1101/004614,10.1186/1471-2164-15-494,BMC Genomics,bioRxiv,Characterizing a collective and dynamic component of chromatin immunoprecipitation enrichment profiles in yeast,Lucas D. Ward;Junbai Wang;Harmen J. Bussemaker;,Genomics ,2014-04-29,2014-06-19,"Recent chromatin immunoprecipitation (ChIP) experiments in fly, mouse, and human have revealed the existence of high-occupancy target (HOT) regions or hotspots that show enrichment across many assayed DNA-binding proteins. Similar co-enrichment observed in yeast so far has been treated as artifactual, and has not been fully characterized. Here we reanalyze ChIP data from both array-based and sequencing-based experiments to show that in the yeast S. cerevisiae, the collective enrichment phenomenon is strongly associated with proximity to noncoding RNA genes and with nucleosome depletion. DNA sequence motifs that confer binding affinity for the proteins are largely absent from these hotspots, suggesting that protein-protein interactions play a prominent role. The hotspots are condition-specific, suggesting that they reflect a chromatin state or protein state, and are not a static feature of underlying sequence. Additionally, only a subset of all assayed factors is associated with these loci, suggesting that the co-enrichment cannot be simply explained by a chromatin state that is universally more prone to immunoprecipitation. Together our results suggest that the co-enrichment patterns observed in yeast represent transcription factor co-occupancy. More generally, they make clear that great caution must be used when interpreting ChIP enrichment profiles for individual factors in isolation, as they will include factor-specific as well as collective contributions.",Harmen J. Bussemaker,Columbia University
10.1101/004341,10.1073/pnas.1409572111,Proceedings of the National Academy of Sciences,bioRxiv,Quantifying selection in immune receptor repertoires,Yuval Elhanati;Anand Murugan;Curtis G Callan Jr.;Thierry Mora;Aleksandra Walczak;,Immunology ,2014-04-21,2014-05-22,"The efficient recognition of pathogens by the adaptive immune system relies on the diversity of receptors displayed at the surface of immune cells. T-cell receptor diversity results from an initial random DNA editing process, called VDJ recombination, followed by functional selection of cells according to the interaction of their surface receptors with self and foreign antigenic peptides. To quantify the effect of selection on the highly variable elements of the receptor, we apply a probabilistic maximum likelihood approach to the analysis of high-throughput sequence data from the {beta}-chain of human T-cell receptors. We quantify selection factors for V and J gene choice, and for the length and amino-acid composition of the variable region. Our approach is necessary to disentangle the effects of selection from biases inherent in the recombination process. Inferred selection factors differ little between donors, or between naive and memory repertoires. The number of sequences shared between donors is well-predicted by the model, indicating a purely stochastic origin of such \""public\"" sequences. We find a significant correlation between biases induced by VDJ recombination and our inferred selection factors, together with a reduction of diversity during selection. Both effects suggest that natural selection acting on the recombination process has anticipated the selection pressures experienced during somatic evolution.",Thierry  Mora,Ecole Normale Supérieure
10.1101/004382,10.1016/j.meegid.2012.11.009,"Infection, Genetics and Evolution",bioRxiv,Lack of association between Toll Like Receptor-2 &amp;amp; Toll Like Receptor-4 Gene Polymorphisms and Iranian Asthmatics risk or features,hamid bahrami;saeed daneshmandi;Ali Akbar Pourfathollah;hasan haidarnazhad;,Immunology ,2014-04-28,2014-03-01,"BackgroundAsthma as chronic inflammatory airway disease is considered to be the most common chronic disease that is involving genetic and environmental factors. Toll like receptors (TLRs) and other inflammatory mediators are important in modulation of inflammation. In this study we evaluated the role of TLR2 Arg753Gln and TLR4 Asp299Gly polymorphisms in the asthma susceptibility, progress, control levels and lung functions in Iranian subjects.\n\nMethodsOn 99 asthmatic patients and 120 normal subjects, TLR2 Arg753Gln and TLR4 Asp299Gly polymorphism were evaluated by PCR-RFLP method recruiting Msp1 and Nco1 restriction enzymes, respectively. IgE serum levels by ELISA technique were determined and asthma diagnosis, treatment and control levels were considered using standard schemes and criteria.\n\nResultsOur results indicated that the genotype and allele frequencies of the TLR2 Arg753Gln and TLR4 Asp299Gly polymorphisms were not significantly different between control subjects and asthmatics (p > 0.05) or even in asthma features such as IgE levels, asthma history and pulmonary factors (p > 0.05).\n\nConclusionsMeanwhile some previous studies indicated TLRs and their polymorphisms role in asthma incidence and features, our data demonstrated that TLR2 Arg753Gln and TLR4 Asp299Gly gene variants were not risk factor of asthma or its features in Iranian patients. Genetic complexity, ethnicity, influence of other genes or polymorphisms may overcome these polymorphisms in our asthmatics.",Ali Akbar  Pourfathollah,tarbiat modares university
10.1101/005371,10.1186/gb-2014-15-6-r86,Genome Biology,bioRxiv,IVT-seq reveals extreme bias in RNA-sequencing,Nicholas F Lahens;Ibrahim Halil Kavakli;Ray Zhang;Katharina Hayer;Michael B Black;Hannah Dueck;Angel Pizarro;Junhyong Kim;Rafael A Irizarry;Russell S Thomas;Gregory R Grant;John B Hogenesch;,Genomics ,2014-05-21,2014-06-30,"BackgroundRNA sequencing (RNA-seq) is a powerful technique for identifying and quantifying transcription and splicing events, both known and novel. However, given its recent development and the proliferation of library construction methods, understanding the bias it introduces is incomplete but critical to realizing its value.\n\nResultsHere we present a method, in vitro transcription sequencing (IVT-seq), for identifying and assessing the technical biases in RNA-seq library generation and sequencing at scale. We created a pool of > 1000 in vitro transcribed (IVT) RNAs from a full-length human cDNA library and sequenced them with poly-A and total RNA-seq, the most common protocols. Because each cDNA is full length and we show IVT is incredibly processive, each base in each transcript should be equivalently represented. However, with common RNA-seq applications and platforms, we find [~]50% of transcripts have > 2-fold and [~]10% have > 10-fold differences in within-transcript sequence coverage. Strikingly, we also find > 6% of transcripts have regions of high, unpredictable sequencing coverage, where the same transcript varies dramatically in coverage between samples, confounding accurate determination of their expression. To get at causal factors, we used a combination of experimental and computational approaches to show that rRNA depletion is responsible for the most significant variability in coverage and that several sequence determinants also strongly influence representation.\n\nConclusionsIn sum, these results show the utility of IVT-seq in promoting better understanding of bias introduced by RNA-seq and suggest caution in its interpretation. Furthermore, we find that rRNA-depletion is responsible for substantial, unappreciated biases in coverage. Perhaps most importantly, these coverage biases introduced during library preparation suggest exon level expression analysis may be inadvisable.",John B Hogenesch,University of Pennsylvania
10.1101/005462,10.1186/gb-2014-15-6-r88,Genome Biology,bioRxiv,Human genomic regions with exceptionally high or low levels of population differentiation identified from 911 whole-genome sequences,Vincenza Colonna;Qasim Ayub;Yuan Chen;Luca Pagani;Pierre Luisi;Marc Pybus;Erik Garrison;Yali Xue;Chris Tyler-Smith;,Genomics ,2014-05-23,2014-06-30,"BackgroundPopulation differentiation has proved to be effective for identifying loci under geographically-localized positive selection, and has the potential to identify loci subject to balancing selection. We have previously investigated the pattern of genetic differentiation among human populations at 36.8 million genomic variants to identify sites in the genome showing high frequency differences. Here, we extend this dataset to include additional variants, survey sites with low levels of differentiation, and evaluate the extent to which highly differentiated sites are likely to result from selective or other processes.\n\nResultsWe demonstrate that while sites of low differentiation represent sampling effects rather than balancing selection, sites showing extremely high population differentiation are enriched for positive selection events and that one half may be the result of classic selective sweeps. Among these, we rediscover known examples, where we actually identify the established functional SNP, and discover novel examples including the genes ABCA12, CALD1 and ZNF804, which we speculate may be linked to adaptations in skin, calcium metabolism and defense, respectively.\n\nConclusionsWe have identified known and many novel candidate regions for geographically restricted positive selection, and suggest several directions for further research.",Vincenza  Colonna,The Wellcome Trust Sanger Institute
10.1101/003541,10.1073/pnas.1405500111,Proceedings of the National Academy of Sciences,bioRxiv,An optimized CRISPR/Cas toolbox for efficient germline and somatic genome engineering in Drosophila,Fillip Port;Hui-Min Chen;Tzumin Lee;Simon L Bullock;,Genetics ,2014-03-24,2014-07-07,"The type II CRISPR/Cas system has recently emerged as a powerful method to manipulate the genomes of various organisms. Here, we report a novel toolbox for high efficiency genome engineering of Drosophila melanogaster consisting of transgenic Cas9 lines and versatile guide RNA (gRNA) expression plasmids. Systematic evaluation reveals Cas9 lines with ubiquitous or germline restricted patterns of activity. We also demonstrate differential activity of the same gRNA expressed from different U6 snRNA promoters, with the previously untested U6:3 promoter giving the most potent effect. Choosing an appropriate combination of Cas9 and gRNA allows targeting of essential and non-essential genes with transmission rates ranging from 25% - 100%. We also provide evidence that our optimized CRISPR/Cas tools can be used for offset nicking-based mutagenesis and, in combination with oligonucleotide donors, to precisely edit the genome by homologous recombination with efficiencies that do not require the use of visible markers. Lastly, we demonstrate a novel application of CRISPR/Cas-mediated technology in revealing loss-of-function phenotypes in somatic cells following efficient biallelic targeting by Cas9 expressed in a ubiquitous or tissue-restricted manner. In summary, our CRISPR/Cas tools will facilitate the rapid evaluation of mutant phenotypes of specific genes and the precise modification of the genome with single nucleotide precision. Our results also pave the way for high throughput genetic screening with CRISPR/Cas.",Fillip  Port,MRC-LMB
10.1101/003202,10.1093/hmg/ddu359,Human Molecular Genetics,bioRxiv,TCF7L2 is a master regulator of insulin production and processing,Yuedan Zhou;Soo-Young Park;Jing Su;Kathleen Bailey;Emilia Ottosson-Laakso;Liliya Shcerbina;Nikolay Oskolkov;Enming Zhang;Thomas Thevenin;Jo?o Fadista;Hedvig Bennet;Petter Vikman;Nils Wierup;Malin Fex;Johan Rung;Claes Wollheim;Marcelo Nobrega;Erik Renstr?m;Leif Groop;Ola Hansson;,Cell Biology ,2014-03-05,2014-07-11,"Although variants in the T-cell factor 7-like 2 gene (TCF7L2) confer the strongest risk of type 2 diabetes (T2D) by presumed effects on islet function, the underlying mechanisms are not well understood. We have identified TCF7L2-target genes and described the regulatory network downstream of TCF7L2 responsible for its effect on insulin secretion in rodents and human pancreatic islets. ISL1 is a direct target of TCF7L2 and regulates proinsulin production and processing via MAFA, PDX1, NKX6.1, PCSK1 and PCSK2 and possibly clearance of proinsulin via SLC30A8. Taken together, these results demonstrate that not only synthesis of proinsulin is regulated by TCF7L2, but also processing and possibly clearance of proinsulin and insulin in a genotype dependent manner. These multiple targets in key pathways may explain why TCF7L2 has emerged as the gene showing the strongest association with T2D.",Ola  Hansson,Lund University
10.1101/003269,10.1371/journal.pone.0101851,PLOS ONE,bioRxiv,Early warning signs in social-ecological networks,Samir Suweis;Paolo D'Odorico;,Ecology ,2014-03-12,2014-07-11 	,"A number of social-ecological systems exhibit complex behaviour associated with nonlinearities, bifurcations, and interaction with stochastic drivers. These systems are often prone to abrupt and unexpected instabilities and state shifts that emerge as a discontinuous response to gradual changes in environmental drivers. Predicting such behaviours is crucial to the prevention of or preparation for unwanted regime shifts. Recent research in ecology has investigated early warning signs that anticipate the divergence of univariate ecosystem dynamics from a stable attractor. To date, leading indicators of instability in systems with multiple interacting components have remained poorly investigated. This is a major limitation in the understanding of the dynamics of complex social-ecological networks. Here, we develop a theoretical framework to demonstrate that rising variance - measured, for example, by the maximum element of the covariance matrix of the network - is an effective leading indicator of network instability. We show that its reliability and robustness depend more on the sign of the interactions within the network than the network structure or noise intensity. Mutualistic, scale free and small world networks are less stable than their antagonistic or random counterparts but their instability is more reliably predicted by this leading indicator. These results provide new advances in multidimensional early warning analysis and offer a framework to evaluate the resilience of social-ecological networks.",Paolo  D'Odorico,University of Virginia
10.1101/002683,10.1098/rstb.2013.0252,Proceedings B,bioRxiv,Evolutionary rates for multivariate traits: the role of selection and genetic variation,William Pitchers;Jason B. Wolf;Tom Tregenza;John Hunt;Ian Dworkin;,Evolutionary Biology ,2014-02-14,2014-07-07,"A fundamental question in evolutionary biology is the relative importance of selection and genetic architecture in determining evolutionary rates. Adaptive evolution can be described by the multivariate breeders equation [Formula], which predicts evolutionary change for a suite of phenotypic traits [Formula] as a product of directional selection acting on them ({beta}) and the genetic variance-covariance matrix for those traits (G). Despite being empirically challenging to estimate, there are enough published estimates of G and {beta} to allow for synthesis of general patterns across species. We use published estimates to test the hypotheses that there are systematic differences in the rate of evolution among trait types, and that these differences are in part due to genetic architecture. We find evidence some evidence that sexually selected traits exhibit faster rates of evolution compared to life-history or morphological traits. This difference does not appear to be related to stronger selection on sexually selected traits. Using numerous proposed approaches to quantifying the shape, size and structure of G we examine how these parameters relate to one another, and how they vary among taxonomic and trait groupings. Despite considerable variation, they do not explain the observed differences in evolutionary rates.",Ian  Dworkin,Michigan State University
10.1101/005041,10.7554/eLife.03300,eLife,bioRxiv,The inherent mutational tolerance and antigenic evolvability of influenza hemagglutinin,Bargavi Thyagarajan;Jesse D Bloom;,Microbiology ,2014-05-12,2014-07-08 	,"Influenza is notable for its evolutionary capacity to escape immunity targeting the viral hemagglutinin. We used deep mutational scanning to examine the extent to which a high inherent mutational tolerance contributes to this antigenic evolvability. We created mutant viruses that incorporate most of the {approx} 104 amino-acid mutations to hemagglutinin from A/WSN/1933 (H1N1) influenza. After passaging these viruses in tissue culture to select for functional variants, we used deep sequencing to quantify mutation frequencies before and after selection. These data enable us to infer the preference for each amino acid at each site in hemagglutinin. These inferences are consistent with existing knowledge about the proteins structure and function, and can be used to create a model that describes hemagglutinins evolution far better than existing phylogenetic models. We show that hemagglutinin has a high inherent tolerance for mutations at antigenic sites, suggesting that this is one factor contributing to influenzas antigenic evolution.",Jesse D Bloom,Fred Hutchinson Cancer Research Center
